content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"Tolong map ny di perbaiki, aplikasi lumayan sulit di gunakan , mengingat maps yg kurang akurat, dan salah sasaran",2,Negatif,tolong map ny di perbaiki aplikasi lumayan sulit di gunakan  mengingat maps yg kurang akurat dan salah sasaran,tolong map ny perbaiki aplikasi lumayan sulit maps yg akurat salah sasaran,"['tolong', 'map', 'ny', 'perbaiki', 'aplikasi', 'lumayan', 'sulit', 'maps', 'yg', 'akurat', 'salah', 'sasaran']",tolong map ny baik aplikasi lumayan sulit maps yg akurat salah sasar
"kesusahan DEVELOPER mengatur kode OTP untuk masuk, payahh!!! udah di coba di beberapa nomor kode OTP masuk tidak terkirim",1,Negatif,kesusahan developer mengatur kode otp untuk masuk payahh udah di coba di beberapa nomor kode otp masuk tidak terkirim,kesusahan developer mengatur kode otp masuk payahh udah coba nomor kode otp masuk terkirim,"['kesusahan', 'developer', 'mengatur', 'kode', 'otp', 'masuk', 'payahh', 'udah', 'coba', 'nomor', 'kode', 'otp', 'masuk', 'terkirim']",susah developer atur kode otp masuk payahh udah coba nomor kode otp masuk kirim
"Hari ini tanggal 19 mei 23 , pertama kali mengunakan aplikasi ojol maxim, harga memang murah tapi utk maps tidak terupdate, jelas sekali sy sudah ketik alamat yang saya tuju dan no rumah yng saya maksud , itu no rumah di komplek mana mungkin ada doble no rumah di komplek. Tapi driver malah salah kirim barang tsb. (driver info : saya sesuai dengan alamat yg ibu sampaikan di aplikasi) dan sy bilang itu bukan rumah yang saya tuju mas. (Jasa delivery barang)",2,Negatif,hari ini tanggal  mei   pertama kali mengunakan aplikasi ojol maxim harga memang murah tapi utk maps tidak terupdate jelas sekali sy sudah ketik alamat yang saya tuju dan no rumah yng saya maksud  itu no rumah di komplek mana mungkin ada doble no rumah di komplek tapi driver malah salah kirim barang tsb driver info  saya sesuai dengan alamat yg ibu sampaikan di aplikasi dan sy bilang itu bukan rumah yang saya tuju mas jasa delivery barang,tanggal mei kali mengunakan aplikasi ojol maxim harga murah utk maps terupdate sy ketik alamat tuju no rumah yng maksud no rumah komplek doble no rumah komplek driver salah kirim barang tsb driver info sesuai alamat yg aplikasi sy bilang rumah tuju mas jasa delivery barang,"['tanggal', 'mei', 'kali', 'mengunakan', 'aplikasi', 'ojol', 'maxim', 'harga', 'murah', 'utk', 'maps', 'terupdate', 'sy', 'ketik', 'alamat', 'tuju', 'no', 'rumah', 'yng', 'maksud', 'no', 'rumah', 'komplek', 'doble', 'no', 'rumah', 'komplek', 'driver', 'salah', 'kirim', 'barang', 'tsb', 'driver', 'info', 'sesuai', 'alamat', 'yg', 'aplikasi', 'sy', 'bilang', 'rumah', 'tuju', 'mas', 'jasa', 'delivery', 'barang']",tanggal mei kali mengunakan aplikasi ojol maxim harga murah utk maps terupdate sy ketik alamat tuju no rumah yng maksud no rumah komplek doble no rumah komplek driver salah kirim barang tsb driver info sesuai alamat yg aplikasi sy bilang rumah tuju mas jasa delivery barang
"Gue seneng sih pake maxim, soalnya murah. Tapi rutenya ituu suka gak ngotak, kasian drivernya malah kejauhan. Masalahnya ga semua driver kan bisa cari jalan sendiri yaa",4,Positif,gue seneng sih pake maxim soalnya murah tapi rutenya ituu suka gak ngotak kasian drivernya malah kejauhan masalahnya ga semua driver kan bisa cari jalan sendiri yaa,gue seneng sih pake maxim murah rutenya ituu suka gak ngotak kasian drivernya kejauhan ga driver cari jalan yaa,"['gue', 'seneng', 'sih', 'pake', 'maxim', 'murah', 'rutenya', 'ituu', 'suka', 'gak', 'ngotak', 'kasian', 'drivernya', 'kejauhan', 'ga', 'driver', 'cari', 'jalan', 'yaa']",gue neng sih pake maxim murah rute ituu suka gak ngotak kasi drivernya jauh ga driver cari jalan yaa
"Benar² mengecewakan masak ongkir sudah tertera di aplikasi segitu,drivernya chat mintaknya malah lebih dari harga yg tertera di apk . Kadang juga main cancel aja. Mohonlah di tingkatkan lagi gpp harga hampir sama seperti go**k atau gr*b yg penting pelayanannya memuaskan . Gak seenaknya sendiri.",2,Negatif,benar mengecewakan masak ongkir sudah tertera di aplikasi segitudrivernya chat mintaknya malah lebih dari harga yg tertera di apk  kadang juga main cancel aja mohonlah di tingkatkan lagi gpp harga hampir sama seperti gok atau grb yg penting pelayanannya memuaskan  gak seenaknya sendiri,mengecewakan masak ongkir tertera aplikasi segitudrivernya chat mintaknya harga yg tertera apk kadang main cancel aja mohonlah tingkatkan gpp harga gok grb yg pelayanannya memuaskan gak,"['mengecewakan', 'masak', 'ongkir', 'tertera', 'aplikasi', 'segitudrivernya', 'chat', 'mintaknya', 'harga', 'yg', 'tertera', 'apk', 'kadang', 'main', 'cancel', 'aja', 'mohonlah', 'tingkatkan', 'gpp', 'harga', 'gok', 'grb', 'yg', 'pelayanannya', 'memuaskan', 'gak']",kecewa masak ongkir tera aplikasi segitudrivernya chat mintak harga yg tera apk kadang main cancel aja mohon tingkat gpp harga gok grb yg layan muas gak
"mantap, supirnya keren. menyelesaikaan orderan walau titik penurunan penumpang salah. salut sama drivernya",5,Positif,mantap supirnya keren menyelesaikaan orderan walau titik penurunan penumpang salah salut sama drivernya,mantap supirnya keren menyelesaikaan orderan titik penurunan penumpang salah salut drivernya,"['mantap', 'supirnya', 'keren', 'menyelesaikaan', 'orderan', 'titik', 'penurunan', 'penumpang', 'salah', 'salut', 'drivernya']",mantap supirnya keren menyelesaikaan order titik turun tumpang salah salut drivernya
"Titik lokasi gak akurat. Dapat drivernya juga jauhh. Sampek drivernya bolak balik nyasar, padahal driver yang dekat juga ada",2,Negatif,titik lokasi gak akurat dapat drivernya juga jauhh sampek drivernya bolak balik nyasar padahal driver yang dekat juga ada,titik lokasi gak akurat drivernya jauhh sampek drivernya bolak nyasar driver,"['titik', 'lokasi', 'gak', 'akurat', 'drivernya', 'jauhh', 'sampek', 'drivernya', 'bolak', 'nyasar', 'driver']",titik lokasi gak akurat drivernya jauhh sampek drivernya bolak nyasar driver
"pihak maxim tolong dong ditingkatin lagi keamanan privas nomor telepon pribadi costumer nya, saya udah beberapa kali di chatt lewa wa oleh beberapa driver, dimana mereka chatt saya diluar order saya, jujur saya risih jika terus menerus seperti ini, tolong ditingkatkan lagi ya buat keamanan privasi costumer nya",2,Negatif,pihak maxim tolong dong ditingkatin lagi keamanan privas nomor telepon pribadi costumer nya saya udah beberapa kali di chatt lewa wa oleh beberapa driver dimana mereka chatt saya diluar order saya jujur saya risih jika terus menerus seperti ini tolong ditingkatkan lagi ya buat keamanan privasi costumer nya,maxim tolong ditingkatin keamanan privas nomor telepon pribadi costumer nya udah kali chatt lewa wa driver dimana chatt diluar order jujur risih menerus tolong ditingkatkan ya keamanan privasi costumer nya,"['maxim', 'tolong', 'ditingkatin', 'keamanan', 'privas', 'nomor', 'telepon', 'pribadi', 'costumer', 'nya', 'udah', 'kali', 'chatt', 'lewa', 'wa', 'driver', 'dimana', 'chatt', 'diluar', 'order', 'jujur', 'risih', 'menerus', 'tolong', 'ditingkatkan', 'ya', 'keamanan', 'privasi', 'costumer', 'nya']",maxim tolong ditingkatin aman privas nomor telepon pribadi costumer nya udah kali chatt lewa wa driver mana chatt luar order jujur risih terus tolong tingkat ya aman privasi costumer nya
"Sdh bbrp x naik Maxim,gak pake nunggu lama,dan aplikasinya simpel,gk ribet.",5,Positif,sdh bbrp x naik maximgak pake nunggu lamadan aplikasinya simpelgk ribet,sdh bbrp x maximgak pake nunggu lamadan aplikasinya simpelgk ribet,"['sdh', 'bbrp', 'x', 'maximgak', 'pake', 'nunggu', 'lamadan', 'aplikasinya', 'simpelgk', 'ribet']",sdh bbrp x maximgak pake nunggu lamadan aplikasi simpelgk ribet
Kan saya udah download apk ini pas saya buka malah ga bisa terus malahan disuruh uninstal lalu disuruh instal lagi gitu aja terus padahal waktu download pertama kali bisa terus saya hapus apk nya lah berhubung saya mau download lagi eh malah ga bisa dibuka itu kenapa ya harap segera diperbaiki,2,Negatif,kan saya udah download apk ini pas saya buka malah ga bisa terus malahan disuruh uninstal lalu disuruh instal lagi gitu aja terus padahal waktu download pertama kali bisa terus saya hapus apk nya lah berhubung saya mau download lagi eh malah ga bisa dibuka itu kenapa ya harap segera diperbaiki,udah download apk pas buka ga disuruh uninstal disuruh instal gitu aja download kali hapus apk nya berhubung download eh ga dibuka ya harap diperbaiki,"['udah', 'download', 'apk', 'pas', 'buka', 'ga', 'disuruh', 'uninstal', 'disuruh', 'instal', 'gitu', 'aja', 'download', 'kali', 'hapus', 'apk', 'nya', 'berhubung', 'download', 'eh', 'ga', 'dibuka', 'ya', 'harap', 'diperbaiki']",udah download apk pas buka ga suruh uninstal suruh instal gitu aja download kali hapus apk nya hubung download eh ga buka ya harap baik
"Nunggu lama ketika mencari rider ketika cancel, baru di kasih ridernya.... terusss jadinya pesan 2 driver perbaiki lagi sistemnya... murah sih murah tapi tidak maximal",1,Negatif,nunggu lama ketika mencari rider ketika cancel baru di kasih ridernya terusss jadinya pesan  driver perbaiki lagi sistemnya murah sih murah tapi tidak maximal,nunggu mencari rider cancel kasih ridernya terusss pesan driver perbaiki sistemnya murah sih murah maximal,"['nunggu', 'mencari', 'rider', 'cancel', 'kasih', 'ridernya', 'terusss', 'pesan', 'driver', 'perbaiki', 'sistemnya', 'murah', 'sih', 'murah', 'maximal']",nunggu cari rider cancel kasih ridernya terusss pesan driver baik sistem murah sih murah maximal
"overall gak pernah ada kendala sih pesan maxim, tp tolong update maps kalian donk, susah bgt mau masukin alamat atau titip maps sesuai alamat kita pasti diarahinnya ke nama yg udah ada aja.",5,Positif,overall gak pernah ada kendala sih pesan maxim tp tolong update maps kalian donk susah bgt mau masukin alamat atau titip maps sesuai alamat kita pasti diarahinnya ke nama yg udah ada aja,overall gak kendala sih pesan maxim tp tolong update maps donk susah bgt masukin alamat titip maps sesuai alamat diarahinnya nama yg udah aja,"['overall', 'gak', 'kendala', 'sih', 'pesan', 'maxim', 'tp', 'tolong', 'update', 'maps', 'donk', 'susah', 'bgt', 'masukin', 'alamat', 'titip', 'maps', 'sesuai', 'alamat', 'diarahinnya', 'nama', 'yg', 'udah', 'aja']",overall gak kendala sih pesan maxim tp tolong update maps donk susah bgt masukin alamat titip maps sesuai alamat diarahinnya nama yg udah aja
"Ini gimana maxim,setelah di upgrade aplikasi malah eror,untuk masuk ke orderan dan chat driver tiba2 keluar sendiri,sudah di hapus aplikasi lalu download lagi masih juga begitu,gmna nih terpaksa uninstal dan pindah ke aplikasi lain kalo gitu",1,Negatif,ini gimana maximsetelah di upgrade aplikasi malah eroruntuk masuk ke orderan dan chat driver tiba keluar sendirisudah di hapus aplikasi lalu download lagi masih juga begitugmna nih terpaksa uninstal dan pindah ke aplikasi lain kalo gitu,gimana maximsetelah upgrade aplikasi eroruntuk masuk orderan chat driver sendirisudah hapus aplikasi download begitugmna nih terpaksa uninstal pindah aplikasi kalo gitu,"['gimana', 'maximsetelah', 'upgrade', 'aplikasi', 'eroruntuk', 'masuk', 'orderan', 'chat', 'driver', 'sendirisudah', 'hapus', 'aplikasi', 'download', 'begitugmna', 'nih', 'terpaksa', 'uninstal', 'pindah', 'aplikasi', 'kalo', 'gitu']",gimana maximsetelah upgrade aplikasi eroruntuk masuk order chat driver sendirisudah hapus aplikasi download begitugmna nih paksa uninstal pindah aplikasi kalo gitu
"Ancuuuurrrrrrrrr,,,,,,,,.... Ni aplikasi ojol paling kagak jelas, udah ribet banyak yg gak terdaftar di peta sekarang malah petanya gk muncul sama sekali, jadi gk bisa cari titik. Udah di apus download lg masih sama aja, haha .Gk kepake sama sekali apus aja dah, byee",1,Negatif,ancuuuurrrrrrrrr ni aplikasi ojol paling kagak jelas udah ribet banyak yg gak terdaftar di peta sekarang malah petanya gk muncul sama sekali jadi gk bisa cari titik udah di apus download lg masih sama aja haha gk kepake sama sekali apus aja dah byee,ancuuuurrrrrrrrr ni aplikasi ojol kagak udah ribet yg gak terdaftar peta petanya gk muncul gk cari titik udah apus download lg aja haha gk kepake apus aja dah byee,"['ancuuuurrrrrrrrr', 'ni', 'aplikasi', 'ojol', 'kagak', 'udah', 'ribet', 'yg', 'gak', 'terdaftar', 'peta', 'petanya', 'gk', 'muncul', 'gk', 'cari', 'titik', 'udah', 'apus', 'download', 'lg', 'aja', 'haha', 'gk', 'kepake', 'apus', 'aja', 'dah', 'byee']",ancuuuurrrrrrrrr ni aplikasi ojol kagak udah ribet yg gak daftar peta peta gk muncul gk cari titik udah apus download lg aja haha gk kepake apus aja dah byee
"Sering terjadi Trouble pada aplikasi,bukan mempercepat malah memperlambat salut dah sama maxim ini mending aplikasi sebelah aja udah gpp mahalan dikit yang penting pemakaian aplikasi ga ribet dan gampang",1,Negatif,sering terjadi trouble pada aplikasibukan mempercepat malah memperlambat salut dah sama maxim ini mending aplikasi sebelah aja udah gpp mahalan dikit yang penting pemakaian aplikasi ga ribet dan gampang,trouble aplikasibukan mempercepat memperlambat salut dah maxim mending aplikasi sebelah aja udah gpp mahalan dikit pemakaian aplikasi ga ribet gampang,"['trouble', 'aplikasibukan', 'mempercepat', 'memperlambat', 'salut', 'dah', 'maxim', 'mending', 'aplikasi', 'sebelah', 'aja', 'udah', 'gpp', 'mahalan', 'dikit', 'pemakaian', 'aplikasi', 'ga', 'ribet', 'gampang']",trouble aplikasibukan cepat lambat salut dah maxim mending aplikasi belah aja udah gpp mahal dikit pakai aplikasi ga ribet gampang
Aplikasi nyebelin tapi butuh. Barang udah dibawa. TPI dibawa muter2 SMA drivernya ambil orderan lain. Gimana nih? Keknya harus kasih taying driver ditegesin,1,Negatif,aplikasi nyebelin tapi butuh barang udah dibawa tpi dibawa muter sma drivernya ambil orderan lain gimana nih keknya harus kasih taying driver ditegesin,aplikasi nyebelin butuh barang udah dibawa tpi dibawa muter sma drivernya ambil orderan gimana nih keknya kasih taying driver ditegesin,"['aplikasi', 'nyebelin', 'butuh', 'barang', 'udah', 'dibawa', 'tpi', 'dibawa', 'muter', 'sma', 'drivernya', 'ambil', 'orderan', 'gimana', 'nih', 'keknya', 'kasih', 'taying', 'driver', 'ditegesin']",aplikasi nyebelin butuh barang udah bawa tpi bawa muter sma drivernya ambil order gimana nih kek kasih taying driver ditegesin
"Aplikasi yg menunggu lama kedatangan driver,kadang tarif berubah pas saya naik 12000 nah terus pas turun jadi 22000 penipuan,kadang pas jemput ga akurat saya di mana driver udah nyampe dititik jemput tapi ga ada.buang buang waktu mau kerja/atau anak sekolah",1,Negatif,aplikasi yg menunggu lama kedatangan driverkadang tarif berubah pas saya naik  nah terus pas turun jadi  penipuankadang pas jemput ga akurat saya di mana driver udah nyampe dititik jemput tapi ga adabuang buang waktu mau kerjaatau anak sekolah,aplikasi yg menunggu kedatangan driverkadang tarif berubah pas pas turun penipuankadang pas jemput ga akurat driver udah nyampe dititik jemput ga adabuang buang kerjaatau anak sekolah,"['aplikasi', 'yg', 'menunggu', 'kedatangan', 'driverkadang', 'tarif', 'berubah', 'pas', 'pas', 'turun', 'penipuankadang', 'pas', 'jemput', 'ga', 'akurat', 'driver', 'udah', 'nyampe', 'dititik', 'jemput', 'ga', 'adabuang', 'buang', 'kerjaatau', 'anak', 'sekolah']",aplikasi yg tunggu datang driverkadang tarif ubah pas pas turun penipuankadang pas jemput ga akurat driver udah nyampe titik jemput ga adabuang buang kerjaatau anak sekolah
"Harganya murah, terus dipertahankan ya. Hanya saran, tolong petanya dilengkapi, karena masih banyak titik yang tidak terekam di peta. Sukses selalu",4,Positif,harganya murah terus dipertahankan ya hanya saran tolong petanya dilengkapi karena masih banyak titik yang tidak terekam di peta sukses selalu,harganya murah dipertahankan ya saran tolong petanya dilengkapi titik terekam peta sukses,"['harganya', 'murah', 'dipertahankan', 'ya', 'saran', 'tolong', 'petanya', 'dilengkapi', 'titik', 'terekam', 'peta', 'sukses']",harga murah tahan ya saran tolong peta lengkap titik rekam peta sukses
Aplikasinya mudah digunakan. Drivernya jg gampang didapatkan dan ramah. Tarif jasanya jg relatif murah dibanding yg lainnya. Semoga ada banyak Promo kedepannya buat Customer dan Driver biar jadi ramai pengguna jasanya,5,Positif,aplikasinya mudah digunakan drivernya jg gampang didapatkan dan ramah tarif jasanya jg relatif murah dibanding yg lainnya semoga ada banyak promo kedepannya buat customer dan driver biar jadi ramai pengguna jasanya,aplikasinya mudah drivernya jg gampang didapatkan ramah tarif jasanya jg relatif murah dibanding yg semoga promo kedepannya customer driver biar ramai pengguna jasanya,"['aplikasinya', 'mudah', 'drivernya', 'jg', 'gampang', 'didapatkan', 'ramah', 'tarif', 'jasanya', 'jg', 'relatif', 'murah', 'dibanding', 'yg', 'semoga', 'promo', 'kedepannya', 'customer', 'driver', 'biar', 'ramai', 'pengguna', 'jasanya']",aplikasi mudah drivernya jg gampang dapat ramah tarif jasa jg relatif murah banding yg moga promo depan customer driver biar ramai guna jasa
"Iya, harganya lebih murah. Tapi sistem buat nyari alamat di map jelek. Jelek banget malah. Nyusahin orang tua yang susah baca map. Yang masih muda aja kadang kesulitan. Masalahnya itu adalah map yang tidak sesuai dengan kondisi realita di lapangannya. Udah, itu aja.",2,Negatif,iya harganya lebih murah tapi sistem buat nyari alamat di map jelek jelek banget malah nyusahin orang tua yang susah baca map yang masih muda aja kadang kesulitan masalahnya itu adalah map yang tidak sesuai dengan kondisi realita di lapangannya udah itu aja,iya harganya murah sistem nyari alamat map jelek jelek banget nyusahin orang tua susah baca map muda aja kadang kesulitan map sesuai kondisi realita lapangannya udah aja,"['iya', 'harganya', 'murah', 'sistem', 'nyari', 'alamat', 'map', 'jelek', 'jelek', 'banget', 'nyusahin', 'orang', 'tua', 'susah', 'baca', 'map', 'muda', 'aja', 'kadang', 'kesulitan', 'map', 'sesuai', 'kondisi', 'realita', 'lapangannya', 'udah', 'aja']",iya harga murah sistem nyari alamat map jelek jelek banget nyusahin orang tua susah baca map muda aja kadang sulit map sesuai kondisi realita lapang udah aja
mas nya baik... bawa motornya juga enak ... mementingkan keselamatan penumpang... g ugal-ugalan dan suka mengalah dari kendaraan yang lain...,5,Positif,mas nya baik bawa motornya juga enak  mementingkan keselamatan penumpang g ugalugalan dan suka mengalah dari kendaraan yang lain,mas nya bawa motornya enak mementingkan keselamatan penumpang g ugalugalan suka mengalah kendaraan,"['mas', 'nya', 'bawa', 'motornya', 'enak', 'mementingkan', 'keselamatan', 'penumpang', 'g', 'ugalugalan', 'suka', 'mengalah', 'kendaraan']",mas nya bawa motor enak penting selamat tumpang g ugalugalan suka kalah kendara
"Minta tolong dong di kasi tempat foto nota. Udah beberapa kali kena bohongkan driver untuk totalan. Harga gak masuk akal totalannya. Bilang nya nota ilang, nota terbang. Tolong di tanggapi. Terimakasih",1,Negatif,minta tolong dong di kasi tempat foto nota udah beberapa kali kena bohongkan driver untuk totalan harga gak masuk akal totalannya bilang nya nota ilang nota terbang tolong di tanggapi terimakasih,tolong kasi foto nota udah kali kena bohongkan driver totalan harga gak masuk akal totalannya bilang nya nota ilang nota terbang tolong tanggapi terimakasih,"['tolong', 'kasi', 'foto', 'nota', 'udah', 'kali', 'kena', 'bohongkan', 'driver', 'totalan', 'harga', 'gak', 'masuk', 'akal', 'totalannya', 'bilang', 'nya', 'nota', 'ilang', 'nota', 'terbang', 'tolong', 'tanggapi', 'terimakasih']",tolong kasi foto nota udah kali kena bohong driver total harga gak masuk akal total bilang nya nota ilang nota terbang tolong tanggap terimakasih
Kalau bisa di update yang ok tampilan menu nya di food sangat sederhana sekali dan membingungkan harus nya seperti aplikasi ijo sebelah ada spesifikasi nya ... Ada jenis menu nya,1,Negatif,kalau bisa di update yang ok tampilan menu nya di food sangat sederhana sekali dan membingungkan harus nya seperti aplikasi ijo sebelah ada spesifikasi nya  ada jenis menu nya,update ok tampilan menu nya food sederhana membingungkan nya aplikasi ijo sebelah spesifikasi nya jenis menu nya,"['update', 'ok', 'tampilan', 'menu', 'nya', 'food', 'sederhana', 'membingungkan', 'nya', 'aplikasi', 'ijo', 'sebelah', 'spesifikasi', 'nya', 'jenis', 'menu', 'nya']",update ok tampil menu nya food sederhana bingung nya aplikasi ijo belah spesifikasi nya jenis menu nya
sudah dua kali pakai Maxim. pelayanannya selalu baik selalu . supirnya ramah dan tarifnya ramah dikantong. sangat bersahabat. maju terus. bakal langganan bintang deh,5,Positif,sudah dua kali pakai maxim pelayanannya selalu baik selalu  supirnya ramah dan tarifnya ramah dikantong sangat bersahabat maju terus bakal langganan bintang deh,kali pakai maxim pelayanannya supirnya ramah tarifnya ramah dikantong bersahabat maju langganan bintang deh,"['kali', 'pakai', 'maxim', 'pelayanannya', 'supirnya', 'ramah', 'tarifnya', 'ramah', 'dikantong', 'bersahabat', 'maju', 'langganan', 'bintang', 'deh']",kali pakai maxim layan supirnya ramah tarif ramah kantong sahabat maju langgan bintang deh
"ini bug atau apa, sejak beberapa bulan kemarin setelah update kenapa gabisa masukkan alamat rumah, udah dimasukin disuruh masukin lagi akhirnya ga bisa², kenapa sih ini, padahal saya update terus juga sudah, menyusahkan sekali",1,Negatif,ini bug atau apa sejak beberapa bulan kemarin setelah update kenapa gabisa masukkan alamat rumah udah dimasukin disuruh masukin lagi akhirnya ga bisa kenapa sih ini padahal saya update terus juga sudah menyusahkan sekali,bug kemarin update gabisa masukkan alamat rumah udah dimasukin disuruh masukin ga sih update menyusahkan,"['bug', 'kemarin', 'update', 'gabisa', 'masukkan', 'alamat', 'rumah', 'udah', 'dimasukin', 'disuruh', 'masukin', 'ga', 'sih', 'update', 'menyusahkan']",bug kemarin update gabisa masuk alamat rumah udah dimasukin suruh masukin ga sih update susah
baru 3x pake.. 1x pake maxim bike.. 2x pake maxim car.. maxim bike oke sih.. driver ramah.. maxim car nice jg sih... cm kenapa klo kita pesen maxim car.. klo penawaran tarifnya g di up itu... jarang ada driver yg mau ambil orderan kita.. mintanya di up tarif.. baru deh kita diangkut.. apa kek gini systemnya.. murah sih murah klo maen tawar-menawar mending g usah pake tarif murah deh.. sekalian aja jeblosin maunya berapa tarifnya... kek aplikasi ojol yg laen.. lebih simpel kan ??,4,Positif,baru x pake x pake maxim bike x pake maxim car maxim bike oke sih driver ramah maxim car nice jg sih cm kenapa klo kita pesen maxim car klo penawaran tarifnya g di up itu jarang ada driver yg mau ambil orderan kita mintanya di up tarif baru deh kita diangkut apa kek gini systemnya murah sih murah klo maen tawarmenawar mending g usah pake tarif murah deh sekalian aja jeblosin maunya berapa tarifnya kek aplikasi ojol yg laen lebih simpel kan ,x pake x pake maxim bike x pake maxim car maxim bike oke sih driver ramah maxim car nice jg sih cm klo pesen maxim car klo penawaran tarifnya g up jarang driver yg ambil orderan mintanya up tarif deh diangkut kek gini systemnya murah sih murah klo maen tawarmenawar mending g pake tarif murah deh aja jeblosin maunya tarifnya kek aplikasi ojol yg laen simpel,"['x', 'pake', 'x', 'pake', 'maxim', 'bike', 'x', 'pake', 'maxim', 'car', 'maxim', 'bike', 'oke', 'sih', 'driver', 'ramah', 'maxim', 'car', 'nice', 'jg', 'sih', 'cm', 'klo', 'pesen', 'maxim', 'car', 'klo', 'penawaran', 'tarifnya', 'g', 'up', 'jarang', 'driver', 'yg', 'ambil', 'orderan', 'mintanya', 'up', 'tarif', 'deh', 'diangkut', 'kek', 'gini', 'systemnya', 'murah', 'sih', 'murah', 'klo', 'maen', 'tawarmenawar', 'mending', 'g', 'pake', 'tarif', 'murah', 'deh', 'aja', 'jeblosin', 'maunya', 'tarifnya', 'kek', 'aplikasi', 'ojol', 'yg', 'laen', 'simpel']",x pake x pake maxim bike x pake maxim car maxim bike oke sih driver ramah maxim car nice jg sih cm klo sen maxim car klo tawar tarif g up jarang driver yg ambil order minta up tarif deh angkut kek gin systemnya murah sih murah klo maen tawarmenawar mending g pake tarif murah deh aja jeblosin mau tarif kek aplikasi ojol yg laen simpel
Saya KAPOK dengan MAXIM diperlakukan kasar dan kurang ajar sama driver. Sudah gak tau jalan malah diturunkan ditengah jalan. Lama-lama bisa tutup maxim pelihara driver gak bagus.,1,Negatif,saya kapok dengan maxim diperlakukan kasar dan kurang ajar sama driver sudah gak tau jalan malah diturunkan ditengah jalan lamalama bisa tutup maxim pelihara driver gak bagus,kapok maxim diperlakukan kasar ajar driver gak tau jalan diturunkan ditengah jalan lamalama tutup maxim pelihara driver gak bagus,"['kapok', 'maxim', 'diperlakukan', 'kasar', 'ajar', 'driver', 'gak', 'tau', 'jalan', 'diturunkan', 'ditengah', 'jalan', 'lamalama', 'tutup', 'maxim', 'pelihara', 'driver', 'gak', 'bagus']",kapok maxim laku kasar ajar driver gak tau jalan turun tengah jalan lamalama tutup maxim pelihara driver gak bagus
"tolong lebih ditingkatkan lg utk maps nya supaya lebih mudah dlm penggunaannya,buat lebih simpel dan akurat biar org tua sekali pun yg gaptek bisa menggunakannya",4,Positif,tolong lebih ditingkatkan lg utk maps nya supaya lebih mudah dlm penggunaannyabuat lebih simpel dan akurat biar org tua sekali pun yg gaptek bisa menggunakannya,tolong ditingkatkan lg utk maps nya mudah dlm penggunaannyabuat simpel akurat biar org tua yg gaptek menggunakannya,"['tolong', 'ditingkatkan', 'lg', 'utk', 'maps', 'nya', 'mudah', 'dlm', 'penggunaannyabuat', 'simpel', 'akurat', 'biar', 'org', 'tua', 'yg', 'gaptek', 'menggunakannya']",tolong tingkat lg utk maps nya mudah dlm penggunaannyabuat simpel akurat biar org tua yg gaptek guna
"Lemot anjg, gabsa diajak kerja cepat, udh dipesen malah keluar sndiri, di cancel dan ulang lagi malah harus ribet ngisi data lgi dan itu juga lemot gada respon sama sekali",1,Negatif,lemot anjg gabsa diajak kerja cepat udh dipesen malah keluar sndiri di cancel dan ulang lagi malah harus ribet ngisi data lgi dan itu juga lemot gada respon sama sekali,lemot anjg gabsa diajak kerja cepat udh dipesen sndiri cancel ulang ribet ngisi data lgi lemot gada respon,"['lemot', 'anjg', 'gabsa', 'diajak', 'kerja', 'cepat', 'udh', 'dipesen', 'sndiri', 'cancel', 'ulang', 'ribet', 'ngisi', 'data', 'lgi', 'lemot', 'gada', 'respon']",lot anjg gabsa ajak kerja cepat udh sen sndiri cancel ulang ribet ngisi data lgi lot gada respon
"Murah sih, tapi untuk kwalitas nya sangat kuramg memuaskan, terutama untk kemanan customer seperti no hp yg tidak di privasi dan driver yang kadang seenaknya aja dengan customer",1,Negatif,murah sih tapi untuk kwalitas nya sangat kuramg memuaskan terutama untk kemanan customer seperti no hp yg tidak di privasi dan driver yang kadang seenaknya aja dengan customer,murah sih kwalitas nya kuramg memuaskan untk kemanan customer no hp yg privasi driver kadang aja customer,"['murah', 'sih', 'kwalitas', 'nya', 'kuramg', 'memuaskan', 'untk', 'kemanan', 'customer', 'no', 'hp', 'yg', 'privasi', 'driver', 'kadang', 'aja', 'customer']",murah sih kwalitas nya kuramg muas untk keman customer no hp yg privasi driver kadang aja customer
